Timestamp,Are you eating food past their expiration dates more or less often since pandemic?,What do you think are the main reasons that food get wasted in your household?(select all that apply),Select the option which best reflects what is happening in your household since the start of pandemic?,What are you doing differently since start of pandemic? (select all apply),Ward
2021/06/09 4:55:16 PM CDT,About the same,Food left in the fridge or freezer too long;Some household members do not finish their meals;Food goes bad before 'best before' date;Food plans changes more often;We generally get too busy to cook meal;We don't check freezer/fridge before shopping,We are wasting less food in amount but not overall percentage,I am eating leftovers more often;I look in my fridge and pantries more often;I am planning meals before shopping,Ward 7
2021/06/09 4:58:15 PM CDT,About the same,Food left in the fridge or freezer too long;Some household members do not finish their meals,"We are wasting less food, in amount and overall percentage",I am eating leftovers more often;I am planning meals before shopping,
2021/06/09 5:05:51 PM CDT,I never eat food past their expiration dates,Food left in the fridge or freezer too long;We like to eat food freshest food possible,"We are wasting less food, in amount and overall percentage","I am eating leftovers more often;To prevent molds, I wait and wash until I am ready to eat",Ward 3
2021/06/09 5:07:10 PM CDT,About the same,We like to eat food freshest food possible;We don't check freezer/fridge before shopping,,I look in my fridge and pantries more often,
2021/06/09 5:30:35 PM CDT,About the same,Food left in the fridge or freezer too long,We are wasting less food in amount but not overall percentage,I have not change anything,Ward 4
2021/06/09 6:01:29 PM CDT,I never eat food past their expiration dates,Food left in the fridge or freezer too long;We do not waste any food in our household;Food goes bad before 'best before' date;Food plans changes more often,"We are wasting less food, in amount and overall percentage",I look in my fridge and pantries more often,Ward 4
2021/06/09 6:11:51 PM CDT,About the same,Food left in the fridge or freezer too long;Some household members do not finish their meals,"We are wasting less food, in amount and overall percentage",I am eating leftovers more often;I look in my fridge and pantries more often;I am planning meals before shopping;I am using more produce,Ward 2
2021/06/09 6:42:46 PM CDT,I never eat food past their expiration dates,We do not waste any food in our household,,I am planning meals before shopping,Ward 13
2021/06/09 6:49:38 PM CDT,About the same,Food left in the fridge or freezer too long,"We are wasting less food, in amount and overall percentage",I have not change anything,Ward 13
2021/06/09 7:00:05 PM CDT,About the same,Food left in the fridge or freezer too long,We are wasting less food in amount but not overall percentage,I am planning meals before shopping,Ward 4
2021/06/09 7:22:06 PM CDT,I never eat food past their expiration dates,Food left in the fridge or freezer too long;Food goes bad before 'best before' date,"We are wasting less food, in amount and overall percentage",I have not change anything,Ward 13
2021/06/09 7:25:26 PM CDT,About the same,Food left in the fridge or freezer too long;We cook too much,We are wasting less food in amount but not overall percentage,I have not change anything,Ward 8
2021/06/09 7:27:27 PM CDT,More often,Food left in the fridge or freezer too long;We cook too much,We are wasting less food in amount but not overall percentage,"I am using more produce;To prevent mold, I wait and wash until I am ready to eat",Ward 11
2021/06/09 8:19:32 PM CDT,More often,Food goes bad before 'best before' date;We like to eat food freshest food possible;Food plans changes more often;We cook too much;We generally get too busy to cook meal;We don't check freezer/fridge before shopping,We are wasting less food in amount but not overall percentage,I look in my fridge and pantries more often,Ward 7
2021/06/09 8:30:57 PM CDT,About the same,Food left in the fridge or freezer too long,We are wasting more food in amount,I am eating leftovers more often;I look in my fridge and pantries more often,Ward 8
2021/06/09 8:37:40 PM CDT,About the same,Food left in the fridge or freezer too long;We like to eat food freshest food possible;Food plans changes more often,We are wasting less food in amount but not overall percentage,I have not change anything,Ward 2
2021/06/09 8:47:36 PM CDT,About the same,Food left in the fridge or freezer too long;Food plans changes more often,We are wasting less food in amount but not overall percentage,"I am eating leftovers more often;I am planning meals before shopping;To prevent mold, I wait and wash until I am ready to eat",Ward 8
2021/06/09 9:07:07 PM CDT,About the same,Food left in the fridge or freezer too long;We generally get too busy to cook meal,"We are wasting less food, in amount and overall percentage",I am planning meals before shopping,Ward 7
2021/06/09 9:48:32 PM CDT,I never eat food past their expiration dates,Food left in the fridge or freezer too long;Some household members do not finish their meals,,I have not change anything,Ward 9
2021/06/09 10:10:30 PM CDT,About the same,Food left in the fridge or freezer too long;We generally get too busy to cook meal,"We are wasting less food, in amount and overall percentage",I am eating leftovers more often;I am using more produce,Ward 8
